Date,Open,High,Low,Close,Volume,Adj close
2007-08-31,49.000000,52.240002,49.000000,52.070000,0,52.070000
2007-09-30,52.000000,56.500000,51.380001,54.700001,0,54.700001
2007-10-31,54.900002,59.000000,52.930000,53.200001,0,53.200001
2007-11-30,53.560001,56.820000,53.000000,56.549999,0,56.549999
2007-12-31,57.200001,63.169998,57.150002,62.099998,0,62.099998
2008-01-31,62.599998,66.199997,60.000000,63.709999,0,63.709999
2008-02-29,64.500000,64.849998,57.700001,59.200001,0,59.200001
2008-03-31,57.450001,59.320000,55.380001,55.930000,0,55.930000
2008-04-30,54.959999,60.000000,54.939999,56.480000,0,56.480000
2008-05-31,57.020000,58.919998,55.680000,58.500000,0,58.500000
2008-06-30,58.669998,61.480000,57.000000,58.500000,0,58.500000
2008-07-31,58.160000,58.619999,53.360001,56.520000,0,56.520000
2008-08-31,56.549999,63.000000,52.910000,61.959999,0,61.959999
2008-09-30,61.860001,68.370003,54.389999,57.450001,0,57.450001
2008-10-31,60.000000,64.300003,56.549999,63.090000,0,63.090000
2008-11-30,63.080002,63.080002,58.369999,61.509998,0,61.509998
2008-12-31,62.709999,71.690002,60.919998,71.330002,0,71.330002
2009-01-31,71.430000,78.900002,68.010002,74.570000,0,74.570000
2009-02-28,75.489998,75.699997,67.000000,68.620003,0,68.620003
2009-03-31,69.260002,69.599998,63.880001,66.290001,0,66.290001
2009-04-30,66.300003,68.900002,66.300003,68.620003,0,68.620003
2009-05-31,68.790001,73.000000,64.919998,66.110001,0,66.110001
2009-06-30,65.660004,66.650002,62.700001,65.930000,0,65.930000
2009-07-31,66.489998,66.980003,65.209999,65.610001,0,65.610001
2009-08-31,65.879997,69.220001,65.690002,67.580002,0,67.580002
2009-09-30,68.410004,71.400002,67.500000,69.639999,0,69.639999
2009-10-31,70.080002,78.169998,70.080002,77.379997,0,77.379997
2009-11-30,78.040001,79.930000,74.760002,75.360001,0,75.360001
2009-12-31,76.400002,79.089996,75.989998,76.769997,0,76.769997
2010-01-31,77.129997,81.879997,76.019997,80.709999,0,80.709999
2010-02-28,81.379997,82.949997,79.470001,81.440002,0,81.440002
2010-03-31,81.510002,87.879997,81.510002,87.739998,0,87.739998
2010-04-30,88.000000,99.529999,87.930000,97.910004,0,97.910004
2010-05-31,98.500000,103.860001,97.199997,99.970001,0,99.970001
2010-06-30,100.279999,100.379997,87.470001,88.930000,0,88.930000
2010-07-31,89.309998,96.970001,88.059998,96.849998,0,96.849998
2010-08-31,96.980003,98.129997,94.220001,94.550003,0,94.550003
2010-09-30,94.580002,97.199997,93.349998,95.669998,0,95.669998
2010-10-31,96.160004,105.269997,92.800003,104.589996,0,104.589996
2010-11-30,105.190002,106.019997,101.449997,104.339996,0,104.339996
2010-12-31,105.260002,105.419998,94.150002,95.779999,0,95.779999
2011-01-31,96.139999,101.690002,94.750000,100.919998,0,100.919998
2011-02-28,101.500000,102.379997,95.940002,99.800003,0,99.800003
2011-03-31,99.820000,103.690002,98.199997,102.290001,0,102.290001
2011-04-30,102.589996,107.379997,98.459999,105.339996,0,105.339996
2011-05-31,104.800003,106.919998,102.000000,102.199997,0,102.199997
2011-06-30,101.000000,112.220001,100.660004,111.019997,0,111.019997
